jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
laurawhitehorn,"RT @BklynDefender: ""Imagine being stuck in an elevator — for years. All day and night, people would bang on their lockers and scream in ago…","""Imagine being stuck in an elevator — for years. All day and night, people would bang on their lockers and scream in agony."" A horrifying account of solitary confinement from Roger Clark of @VOCALNewYork &amp; @NYCAIC. https://t.co/EYtScjFx5d #HALTsolitary",Sun Aug 19 00:14:52 +0000 2018
sunflarrie,RT @lovelyallura: imagine not liking girls ? horrifying. cant relate.,imagine not liking girls ? horrifying. cant relate.,Sun Aug 19 00:14:45 +0000 2018
reversedimages,RT @JeniZillOnley: https://t.co/zaGXjuAHhA,https://t.co/zaGXjuAHhA,Sun Aug 19 00:14:39 +0000 2018
SparkYourMind_,"Don't come at me with ""bet you won't say it to my face""

Bitch I'm dead inside I probably will say it to your face and it will be so malicious and horrifying that you'll need to get checked into a psych ward because you'll have a mental breakdown

Dont fuck with me",,Sun Aug 19 00:14:38 +0000 2018
Colleen46646347,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:14:36 +0000 2018
VainandAble,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:14:32 +0000 2018
twinkriqhts,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:14:22 +0000 2018
jamiekwil,"@spitsfire_ @SoCalEdgyGal @TJ10910 Yep, amazing the horrifying evil ignored by the media while it romps after its next viral wardrobe malfunction, didTrumpsaythat blurb, or socialism whitewashing lie. When I came out as a survivor to friends, I was stunned by how many cried on my shoulder about their experiences.",,Sun Aug 19 00:14:21 +0000 2018
jenjavitis,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:14:19 +0000 2018
pinata1138,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:14:19 +0000 2018
ivetothecheeto,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:14:17 +0000 2018
Mlaskie,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 00:14:15 +0000 2018
ResistATW,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 00:14:11 +0000 2018
awknerv,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:14:07 +0000 2018
gretahb42,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:14:07 +0000 2018
guezguezguez,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:14:04 +0000 2018
Mr_McNerney,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:13:45 +0000 2018
rtypaige,"RT @AngelaAbbotts1: Please RT
Donald Trump is a dangerous malignant narcissist. America's democracy hangs by a thread, and the GOP is 100%…","Please RT
Donald Trump is a dangerous malignant narcissist. America's democracy hangs by a thread, and the GOP is 100% complicit and acting criminally.

The Dworkin Report https://t.co/xzUFzJpcHR",Sun Aug 19 00:13:41 +0000 2018
elsmitty007,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:13:40 +0000 2018
stephendare,omg. this is horrifying to watch. And these people end up being our incidental ambassadors. holy moly. https://t.co/PS3M9Mqkod,,Sun Aug 19 00:13:34 +0000 2018
Norm_berry,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:13:15 +0000 2018
katcowley1,"RT @funder: Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s…","Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s mental state. It will make Trump go Trump-level crazy. Actually, on second thought, retweet it. #DworkinReport https://t.co/wklcHGfUJq",Sun Aug 19 00:13:14 +0000 2018
_jflex_,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 00:13:13 +0000 2018
bxe1234,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:13:05 +0000 2018
Graham_Robert,"RT @funder: Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s…","Whatever you do, don’t retweet this podcast episode where a psychologist reveals the horrifying truth about @realDonaldTrump’s mental state. It will make Trump go Trump-level crazy. Actually, on second thought, retweet it. #DworkinReport https://t.co/wklcHGfUJq",Sun Aug 19 00:12:56 +0000 2018
rathertallben,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:12:52 +0000 2018
Foxinuptheplace,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 00:12:51 +0000 2018
TDShaughnessy,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 00:12:41 +0000 2018
