SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
Shadow_Cheshire,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 11:12:56 +0000 2018
dontblamechels,rain came pouring down when I was drowning and thats when I could finally breathe,,Sat Aug 18 11:11:28 +0000 2018
zoeydeutchth,RT @MarthaHunt_b: [IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,[IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,Sat Aug 18 11:10:50 +0000 2018
nulotchristian,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:09:56 +0000 2018
nixlovesjusari,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:09:35 +0000 2018
Daniell39968756,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 11:09:00 +0000 2018
likealumberjack,@yardsoflenin yeah! darcy's disastrous proposal: in the pOURINg rain. lizzie's brooding: by CANDLElight. lady catherine's visit: middle of the night!! darcy's second proposal: emerging from the DAWN MISTS. like hot damn they did not miss a chance to get a good shot,,Sat Aug 18 11:08:42 +0000 2018
touchsweets,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:07:30 +0000 2018
SimulationMeow,"I walked 8 miles each way to school, often dealing with pouring rain or blizzards.
Here comes the clincher:  both ways were uphill. 😂

#BragAboutYourGeneration",,Sat Aug 18 11:07:23 +0000 2018
focusonjdbs,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:06:47 +0000 2018
mybtsarmy19,"RT @EunwooSmiling: 『♡』 —   “you are the coffee that i need in the morning, you are my sunshine when the rain is pouring”

✧*｡☽࿐ ꒰ #차은우͙ ͙꒱～…","『♡』 —   “you are the coffee that i need in the morning, you are my sunshine when the rain is pouring”

✧*｡☽࿐ ꒰ #차은우͙ ͙꒱～♡ https://t.co/zMeoGppVV9",Sat Aug 18 11:06:31 +0000 2018
Louiriginal,RT @dramapierre: let me kiss you hard in the pouring rain,let me kiss you hard in the pouring rain,Sat Aug 18 11:06:05 +0000 2018
NaUna10,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:06:05 +0000 2018
MarthaHunt_b,[IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,,Sat Aug 18 11:04:35 +0000 2018
ppaeng_duckbutt,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:00:34 +0000 2018
katrinaadu,"Light up a candle, change the sheets, lights off, good movie on a Saturday night alone while the rain is pouring is always a good idea",,Sat Aug 18 10:58:43 +0000 2018
JakiFW,RT @ChavasseVCHouse: Ambassador @antonycotton is counting on YOU to help our heroes. He’s climbing Scafell Pike right now in the pouring ra…,"Ambassador @antonycotton is counting on YOU to help our heroes. He’s climbing Scafell Pike right now in the pouring rain with @_pintsizehero! Please retweet, like, comment or donate if you can: https://t.co/bTyeqkB7kZ https://t.co/8fCZg67nRC",Sat Aug 18 10:58:16 +0000 2018
Francis67892,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:58:16 +0000 2018
Paula_Dorepa,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 10:58:02 +0000 2018
tattoevtocry,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:56:26 +0000 2018
flourisgrande,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:55:15 +0000 2018
omqmoonlight,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:54:03 +0000 2018
grandeislight,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:53:13 +0000 2018
CHICHUUC,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 10:52:59 +0000 2018
asexualgavin,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:52:08 +0000 2018
gayness_isbae,let  me kiss you hard in the pouring rain,,Sat Aug 18 10:51:36 +0000 2018
Toukochan,"I see today is hot, humid, and occasional pouring rain, just like the last 1,369 days.  Yay.",,Sat Aug 18 10:51:36 +0000 2018
ActualAbnormaI,"Life is really rude sometimes

So I'm running a little late to work but I jump in the car in the pouring rain, go to pull out of my driveway, and in the road, dead, is my Winnie, my mama cat.",,Sat Aug 18 10:51:14 +0000 2018
snowharia,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:50:30 +0000 2018
kylemntlbn,you make my heart feel like it's summer when the rain is pouring down.,,Sat Aug 18 10:49:32 +0000 2018
ItsDGray,"Been up for 25 hours, it’s pouring rain, and I’m stuck in nyc... is it hiding szn yet.",,Sat Aug 18 10:48:24 +0000 2018
etherealrem,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:45:58 +0000 2018
ThomasAndDove,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:43:28 +0000 2018
sweetlikeari10,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:42:56 +0000 2018
DemartinoGrande,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:42:44 +0000 2018
tbhrxlust,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 10:41:45 +0000 2018
DoesThings__,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 10:40:54 +0000 2018
susiesooze,"Completely forgot that I had this footage of @CCfunkandsoul from @GreenMeadowsFes 
It was pouring with rain but I was dancing in my wellies under my brolley. There’s no sitting down when #StevieWonder ‘s ‘Superstition’ is playing https://t.co/M8IZMZZRmh",,Sat Aug 18 10:40:08 +0000 2018
mahbubur0987,RT @avinashm868: Trinidad has no ideal weather. It’s either blazing sun or pouring rain 🤦🏽‍♂️,Trinidad has no ideal weather. It’s either blazing sun or pouring rain 🤦🏽‍♂️,Sat Aug 18 10:39:10 +0000 2018
taviaordenstein,driving down the pali @ midnight when it’s pouring rain is not the happs. sketchy aff,,Sat Aug 18 10:38:43 +0000 2018
dminiczka,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:38:41 +0000 2018
makeitpoplikeXx,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:37:51 +0000 2018
Vermonster59,RT @NYFarmer: Pouring rain. The oats is getting soaked. https://t.co/8LEOx60dcq,Pouring rain. The oats is getting soaked. https://t.co/8LEOx60dcq,Sat Aug 18 10:37:14 +0000 2018
joycefami,"You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring
Won't you give yourself to me
Give it all 😍🎶 https://t.co/7zKpkITYZi",,Sat Aug 18 10:37:05 +0000 2018
alliecowgill,"Had an 18 mile run planned for marathon training this am, but it’s pouring rain and I don’t have to do it now and I feel so FREE and HAPPY now, running is STUPID, don’t recommend",,Sat Aug 18 10:36:23 +0000 2018
_kingrock,"And just like that , the rain is pouring ... 😬",,Sat Aug 18 10:36:14 +0000 2018
KaileConrad,"RT @Tia61130116: Dalt and I were running into Walmart and it was pouring down rain so I was laughing because I was soaked, and all these ol…","Dalt and I were running into Walmart and it was pouring down rain so I was laughing because I was soaked, and all these old people were looking at me weird. like I’m sorry you can’t run because you’ve had 9 hip replacements Doris let me live",Sat Aug 18 10:35:21 +0000 2018
GurjarRavindr,RT @Indiamining: The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#…,The @goafront dharnas continue at various locations even in the pouring rain. Great dedication by the #mining dependents.#RestartMining @My_Goa_ #Goa #GoaNeedsYourAttention @goacm @PMOIndia @manoharparrikar #GoansFightsForSurvival #GoansOnDharna #OrdinanceForMiningRestart,Sat Aug 18 10:31:35 +0000 2018
jisungreaperx,You’re my sunshine when the rain is pouring.,,Sat Aug 18 10:31:05 +0000 2018
annasweetenerr,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:30:34 +0000 2018
chaongow,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 10:28:16 +0000 2018
catieblankett,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 10:25:24 +0000 2018
HIPmehiGh,"the rain is pouring down and windy

plz stop now  i wanna go outside and take some photo dont ruin ma weekend 🙄",,Sat Aug 18 10:24:35 +0000 2018
Steciulla,I hate tourist at the track. Guy keeps taking pictures of the line. Come on bud; it’s 6am. You have never seen 500 people stand in line In the pouring rain for picnic tables before?!? @mci456 @tmrr33,,Sat Aug 18 10:24:23 +0000 2018
asgerace,Note to self... don't go to a festival in pouring rain and sing your voice away a week before you have gigs and studio sessions,,Sat Aug 18 10:23:56 +0000 2018
MackenzieMarina,"RT @ThePhilosopurr: Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might los…","Well
This happened..
Found a poor kitten on the back road in the pouring rain. Blind in at least one eye, and might lose vision in the other.
Pray he/she makes it through the night. Roughly 3-4 weeks old. 
Drank some water and did eat some wet food.
Updates tomorrow!
Goodnight💕 https://t.co/kpAN9S7Ii0",Sat Aug 18 10:23:03 +0000 2018
SALTYnBOfficial,"it started absolutely pouring down drenching rain so my shirt was like it had never dried, now I have the heater on........ I love it tho, there's a t-storm here https://t.co/7365NiKPu6",,Sat Aug 18 10:20:33 +0000 2018
sasiprapa45,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 10:20:28 +0000 2018
PuiMrs,"Please send help! I’m stuck in Spain with some British people, it’s pouring with rain and they’re making me do Tai-Chi. Already tried Kim K on the mobile but she is busy filming KUWTK, any suggestions? Xxxx #hostagesituation",,Sat Aug 18 10:19:59 +0000 2018
jikookplanetoid,RT @minarenny: A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he…,"A Jikook au where Jimin finds Jungkook on the side of the road in the pouring rain and takes him in only to discover that he’s a hybrid, which unleashes a whole new set of problems—including the reason for Jungkook’s distrust. https://t.co/fC3ErMRyRz",Sat Aug 18 10:18:10 +0000 2018
LyricalSing_Bot,"♪I don't mind spending every day. Out on the corner in the pouring rain, look for the girl with the broken smile.♪",,Sat Aug 18 10:17:20 +0000 2018
BarryFleeting,Great turn out for our first @KilwinningSC Mini Kickers session after the summer. 25 three and four year olds kicking a ball in the pouring rain. Now onto recovery @CostaCoffee before @steadythebuffs game #soccersaturdays https://t.co/coNlXlM9pw,,Sat Aug 18 10:14:11 +0000 2018
vikas_medical,RT @adgpi: #Update #KeralaFloods2018 Column of 44 Field Regiment  constructed foot bridge at area Padikkad from local resources. In heavily…,#Update #KeralaFloods2018 Column of 44 Field Regiment  constructed foot bridge at area Padikkad from local resources. In heavily pouring rain the construction was completed. We are at it #OpMadad #KeralaFloodRelief https://t.co/dKRf3zGe9S,Sat Aug 18 10:11:42 +0000 2018
codeinezourry,"@hesmysunlight • “i remember one evening in the pouring rain / and in my heart, there was an aching pain” https://t.co/LG7QQExLlS",,Sat Aug 18 10:11:08 +0000 2018
RedDirtBlog,"Was trying to find something for dinner in the pouring rain and found that the super compact “snowball” cauliflowers are starting to mature! Wowsers, what a great surprise for din dins!… https://t.co/xA3oN6kW9Q",,Sat Aug 18 10:10:25 +0000 2018
jj_phoenix66,RT @ChavasseVCHouse: Ambassador @antonycotton is counting on YOU to help our heroes. He’s climbing Scafell Pike right now in the pouring ra…,"Ambassador @antonycotton is counting on YOU to help our heroes. He’s climbing Scafell Pike right now in the pouring rain with @_pintsizehero! Please retweet, like, comment or donate if you can: https://t.co/bTyeqkB7kZ https://t.co/8fCZg67nRC",Sat Aug 18 10:09:40 +0000 2018
LoveJungWheeIn,"RT @vinne0312: I was blanked out earlier if I remembered it right Yong asked ""when do you feel the most emotional?"" Moos said ""at dawn/midn…","I was blanked out earlier if I remembered it right Yong asked ""when do you feel the most emotional?"" Moos said ""at dawn/midnight"" and Yong replied ""for me.. day when the rain is pouring""

*Rainy Days*",Sat Aug 18 10:09:21 +0000 2018
