jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
wf_kentville,Sat 11:00: Today: Rain at times heavy with thundershowers. Fog patches. Amount 20 to 30 mm. Wind south 20 km/h becoming light this afternoon. High 22. Humidex 30. UV index 2 or low.,,Sat Aug 18 13:54:35 +0000 2018
1DForever143143,RT @ardhrapavithran: #KeralaFloodRelief My homeland Kerala is suffering from heavy rain and floods. Many people have already died. And many…,#KeralaFloodRelief My homeland Kerala is suffering from heavy rain and floods. Many people have already died. And many are stuck at their home without any help. So if anyone would like to help us please do it however you can.,Sat Aug 18 13:54:23 +0000 2018
Vinay54625240,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:54:04 +0000 2018
grbibb,@woodywhitehurst What happens if they have heavy rain for a few days after the concert?,,Sat Aug 18 13:54:02 +0000 2018
itsmeIlyaMira,Suddenly rain heavy rain with thunderr,,Sat Aug 18 13:54:00 +0000 2018
Vivek94890637,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:53:59 +0000 2018
wf_fundy,Sat 11:00: Today: cool. Rain at times heavy with risk of a thundershower. Fog patches dissipating this afternoon. Amount 20 to 30 mm. Wind south 20 km/h gusting to 40 becoming northeast 20 this afternoon. High 18. UV index 2 or low.,,Sat Aug 18 13:53:36 +0000 2018
semubhatt,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:53:35 +0000 2018
wf_summerside,Sat 11:00: Today: cool. Rain at times heavy ending this afternoon then cloudy with 60 percent chance of showers. Risk of thundershowers this afternoon. Amount 20 to 30 mm. Wind becoming northeast 20 km/h this afternoon. Temperature steady near 17. UV index 2 or low.,,Sat Aug 18 13:53:33 +0000 2018
wf_stpetersbay,Sat 11:00: Today: cool. Rain at times heavy with risk of thundershowers. Fog patches developing this afternoon. Amount 30 to 40 mm. Wind becoming northeast 20 km/h gusting to 40 this afternoon. High 18. UV index 2 or low.,,Sat Aug 18 13:53:32 +0000 2018
wf_moncton,Sat 11:00: Today: very cool. Rain at times heavy with risk of thundershowers. Fog patches dissipating this afternoon. Amount 30 mm. Wind becoming northeast 20 km/h gusting to 40 this afternoon. High 16. UV index 2 or low.,,Sat Aug 18 13:53:32 +0000 2018
wf_charlottetow,Sat 11:00: Today: cool. Rain at times heavy with risk of thundershowers. Fog patches developing this afternoon. Amount 30 to 40 mm. Wind becoming northeast 20 km/h gusting to 40 this afternoon. High 18. UV index 2 or low.,,Sat Aug 18 13:53:32 +0000 2018
wf_stjohn,Sat 11:00: Today: cool. Rain at times heavy with risk of a thundershower. Fog patches dissipating this afternoon. Amount 20 to 30 mm. Wind south 20 km/h gusting to 40 becoming northeast 20 this afternoon. High 18. UV index 2 or low.,,Sat Aug 18 13:53:31 +0000 2018
sleepyiguana1,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:53:26 +0000 2018
indiatvnews,#NewsAlert | Tamil Nadu Deputy Chief Minister O Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region https://t.co/PHoT0Y7uDj,,Sat Aug 18 13:53:23 +0000 2018
goddamnitashlee,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:53:22 +0000 2018
Bill_Maples,"RT @KATVToddYak: Heavy rain and flooding could become an issue again late Sunday into Monday, especially western Arkansas.  There's a sligh…","Heavy rain and flooding could become an issue again late Sunday into Monday, especially western Arkansas.  There's a slight risk for excessive rainfall.  More at 8 on Channel 7 #ARWX https://t.co/mp3wk7jokF",Sat Aug 18 13:53:02 +0000 2018
HINDU63148881,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:52:59 +0000 2018
WTVAalan,"Stormtrack Doppler Update [8:52 AM] - Here is another look at some of the thunderstorm building into Attala, Montgomery, Choctaw, and Webster counties. Heavy rain, lightning and perhaps an isolated strong gust of wind possible w/ these storms. #mswx https://t.co/mm2pJDQkX9",,Sat Aug 18 13:52:45 +0000 2018
RajeshRithu1,"RT @MumbaiMirror: #KeralaFloods | @AamAadmiParty MLAs, MPs and ministers will donate one month salary for Kerala: Delhi CM @ArvindKejriwal…","#KeralaFloods | @AamAadmiParty MLAs, MPs and ministers will donate one month salary for Kerala: Delhi CM @ArvindKejriwal 
LIVE updates: https://t.co/tqeZTxKNp7 https://t.co/q3tth2DZUE",Sat Aug 18 13:52:35 +0000 2018
VibeMamiii,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:52:28 +0000 2018
wugrossana,"RT @EstadoDTiempoGT: Heavy rain for the next hours. @ElyRecinos 
@Noti7Guatemala 
#ClimaGT 
Execute caution ⚡☔⚠ https://t.co/v7OGC7Rxbu","Heavy rain for the next hours. @ElyRecinos 
@Noti7Guatemala 
#ClimaGT 
Execute caution ⚡☔⚠ https://t.co/v7OGC7Rxbu",Sat Aug 18 13:52:19 +0000 2018
iamsais,RT @praddy06: Kerala Rainfall Update  - Intensity has come down but rains will continue in patches with heavy spell at times.  Rains will d…,"Kerala Rainfall Update  - Intensity has come down but rains will continue in patches with heavy spell at times.  Rains will drastically to reduce after 19th August.
============
Rain intensity has come down a... https://t.co/9ELD2Prbn4",Sat Aug 18 13:51:59 +0000 2018
PEIMedic96,RT @IslandEMS: Please take note of the Heavy rain expected for today. If driving please slow down and becareful of flooded areas and hydrop…,"Please take note of the Heavy rain expected for today. If driving please slow down and becareful of flooded areas and hydroplaning. #DriveSafePEI #PEI #Rainfall
#WeatherWarning  https://t.co/iHCV9dURvM",Sat Aug 18 13:51:55 +0000 2018
yadav_aadesh,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:51:52 +0000 2018
Kiyoshi_twtk,"Now it is starting to rain
지금, 비가 내리기 시작해

I feel you drop tears
네가 눈물을 흘리는 것 같아

And my heart become heavy
그리고 내 마음은 무거워지기 시작해

구미-About Me",,Sat Aug 18 13:51:50 +0000 2018
SharonCraig54,RT @NWSNorman: Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. Howeve…,"Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. However, much better rain chances arrive this evening and overnight.  Locally heavy rainfall is possible. #okwx #txwx https://t.co/RNTzieY0CN",Sat Aug 18 13:51:50 +0000 2018
sbradbury116,RT @CTVNews: Close call for two men in flooded elevator during heavy rain in Toronto https://t.co/0jIfnEuPFY,Close call for two men in flooded elevator during heavy rain in Toronto https://t.co/0jIfnEuPFY,Sat Aug 18 13:51:45 +0000 2018
Srilekha87,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:51:22 +0000 2018
ashleygoldfuss,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:51:12 +0000 2018
NWSAlbuquerque,"The SPC has upgraded the northeast corner of NM, including Clayton and Raton, to a slight risk of severe thunderstorms today. Main threats will be large hail, damaging winds, lightning, and heavy rain. #nmwx https://t.co/85rNhsQfEI",,Sat Aug 18 13:51:03 +0000 2018
TheEmpr3ss,"I haven't searched anything heavy rain related in ages or watched utube, but I did watch 1 (count em ONE) heavy rain stream the other day and its kind of unsettling??? Google knows what games i watch other streamers play??? Twitch isn't even owned by google holy hell",,Sat Aug 18 13:51:01 +0000 2018
TheEmpr3ss,"Hopped onto my pc and go to google and it has a prompt to ""explore video games"", and all of the suggestions are heavy rain based ""heavy rain walkthrough"" ""games like heavy rain"" etcetc. Now, I enjoy heavy rain but this is mildly unnerving",,Sat Aug 18 13:51:00 +0000 2018
joeaugustine22,"Please dont believe in rumors spread of further heavy rains. See the radar image almost no clouds after nearly a week, rain relents.

New Low  - Not a threat to Kerala.
-----------

""The Worst Spell of rains since 1961 or 1924 or 1882 is coming to an end"" https://t.co/NzIuFGBYeP",,Sat Aug 18 13:50:54 +0000 2018
FidgetTBC,"RT @NWS_MountHolly: A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and eve…","A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and evening may result in heavy rain and flash flooding. https://t.co/FRwlYTUR3g",Sat Aug 18 13:50:50 +0000 2018
GirdharDubey,RT @ANI: #TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away f…,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,Sat Aug 18 13:50:46 +0000 2018
ArunNaicker2,"RT @weatherindia: A cyclonic circulation will develop over the #BayOfBengal on Sunday and is forecast to move westward. As it develops, it…","A cyclonic circulation will develop over the #BayOfBengal on Sunday and is forecast to move westward. As it develops, it will bring heavy rain to eastern, central and northern India next week.
#TheWeatherChannel #WeatherUpdate https://t.co/3vCU1I40mj",Sat Aug 18 13:50:11 +0000 2018
RichWarren9,"@LolaJeep48 Will do ! 📷Today's race may be canceled  due to heavy rain all day !! It will be run tomarrow if cancelled !! No big deal , I took Monday off in case this situation arose ! 🏁🏁🏁",,Sat Aug 18 13:49:56 +0000 2018
ANI,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/RCyIpLNaa4,,Sat Aug 18 13:49:36 +0000 2018
AAARPGodess,RT @NWSNewYorkNY: [Saturday] A flash flood watch is in effect for New Jersey as showers and thunderstorms this afternoon and evening may re…,[Saturday] A flash flood watch is in effect for New Jersey as showers and thunderstorms this afternoon and evening may result in heavy rain and flash flooding. https://t.co/17juEuFIYx,Sat Aug 18 13:49:22 +0000 2018
RoyRoyCastaneda,RT @pittywaps: the aftermath of heavy rain lol https://t.co/tZTMet86OG,the aftermath of heavy rain lol https://t.co/tZTMet86OG,Sat Aug 18 13:49:07 +0000 2018
Oliviamay1995,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:48:58 +0000 2018
seanmcevoy_,RT @fredcityandy: Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it ea…,"Marching in a procession to honour a fallen police officer would be difficult. Doing it in heavy rain wouldn’t make it easier. I have incredible respect for those who’ll do that today.
#FrederictonStrong",Sat Aug 18 13:48:21 +0000 2018
AnnakkavurKesav,"If Dams,Cannels,river beds,r maintained properly,avoid constructions on river ways,we wud have escaped rain fury or atleast escaped with little damage.but entire stretch of cannals, rivers enchroched unauthorised constructions reason for heavy damage.",,Sat Aug 18 13:48:17 +0000 2018
0osruthio0,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 13:48:04 +0000 2018
Shyamjithsaji,RT @manoramanews: പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്…,പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്ചിട്ടുണ്ട് #KeralaFloods #FloodNewsKerala #Nelliyampathy https://t.co/RzkhlxaMnx,Sat Aug 18 13:48:03 +0000 2018
boggywood,"RT @MetEireann: Dry in many parts this aft, with sunny intervals in parts of the S &amp; E, but mostly cloudy further N &amp; W, with outbreaks of…","Dry in many parts this aft, with sunny intervals in parts of the S &amp; E, but mostly cloudy further N &amp; W, with outbreaks of rain, drizzle &amp; mist near Atlantic coasts. Rain will become persistent and heavy in the W this eve. Highs of 17 to 25 degrees, warmest in the southeast. https://t.co/V2IdqInNtb",Sat Aug 18 13:47:09 +0000 2018
KristinKetchell,Marginal Risk of severe storms issued for central NC today. A few severe storms may roll throughthe area this afternoon &amp; evening. Main threats will be damaging wind gusts and heavy rain. Stay weather aware today! #ncwx @WNCN https://t.co/3iUKfnJDqh,,Sat Aug 18 13:47:08 +0000 2018
saraatravv,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:47:05 +0000 2018
311Toronto,Heavy rain can cause a mix of wastewater &amp; stormwater from #CityofTO combined sewers to overflow into the Lake. Learn more: https://t.co/qUIHNZQ74v,,Sat Aug 18 13:47:00 +0000 2018
manoramanews,പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്ചിട്ടുണ്ട് #KeralaFloods #FloodNewsKerala #Nelliyampathy https://t.co/RzkhlxaMnx,,Sat Aug 18 13:46:41 +0000 2018
