_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
JabongIndia,"@rahulrajpalnew This issue usually occurs when we do not receive the payment from the payment gateway. There are instances where payment gateway fails to redirect the amount to us due to some technical glitch like service interruption,slow internet connections while processing the payment.(2/2)",,Sun Aug 12 15:54:01 +0000 2018
BradPeel3,"Annnnd....yet another service interruption from @comcast.
No internet, no T.V. and yet they expect you to pay 24/7 service.🤔😠",,Sun Aug 12 15:22:38 +0000 2018
gm8arv,"RT @eumetsat_users: Ground segment maintenance tomorrow, risk of interruption for CODA reprocessed download service, anno 4065 in UNS https…","Ground segment maintenance tomorrow, risk of interruption for CODA reprocessed download service, anno 4065 in UNS https://t.co/MXIS76IuPJ",Sun Aug 12 15:14:39 +0000 2018
Ask_Spectrum,"@wuddup_doe My apologies for the interruption seen there. If you can DM your account number, phone number, or service address, I would be happy to look into that for you here. ^RL",,Sun Aug 12 15:07:00 +0000 2018
Ask_Spectrum,@markfreeman Hi Mark. I can look into the service interruption. Can you please follow/DM your account number as well as the service address. ^SS,,Sun Aug 12 15:04:41 +0000 2018
ralphiemontes,"@maynilad @mwssro @PasayPIO @OmbudsmanPh How long will the nightly service interruptions at Pasay Brgys 94-96 (Zamora St) last? Maybe you should just come clean instead of making us guess whether there will be an ""emergency"" interruption when in fact it happens nightly.",,Sun Aug 12 14:38:29 +0000 2018
eumetsat_users,"Ground segment maintenance tomorrow, risk of interruption for CODA reprocessed download service, anno 4065 in UNS https://t.co/MXIS76IuPJ",,Sun Aug 12 14:30:09 +0000 2018
odette_herviaux,RT @france3Bretagne: Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationa…,"Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationale.

https://t.co/KFo6GvvXrw https://t.co/zYwTGN6DDM",Sun Aug 12 14:29:09 +0000 2018
ARousseau29,RT @france3Bretagne: Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationa…,"Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationale.

https://t.co/KFo6GvvXrw https://t.co/zYwTGN6DDM",Sun Aug 12 14:05:50 +0000 2018
siel_bretagne,RT @france3Bretagne: Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationa…,"Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationale.

https://t.co/KFo6GvvXrw https://t.co/zYwTGN6DDM",Sun Aug 12 14:05:06 +0000 2018
SIEL29_,RT @france3Bretagne: Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationa…,"Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationale.

https://t.co/KFo6GvvXrw https://t.co/zYwTGN6DDM",Sun Aug 12 14:04:28 +0000 2018
comcastcares,@psedoali Hello! I would like to look into your service interruption. Please send me a DM with your first and last name and the phone number as they appear on your account. -DL,,Sun Aug 12 13:59:53 +0000 2018
John_FLK,Been questioning their competence since the 2 weeks prior to this weekend's lack of internet connectivity with a similar two days of service interruption and this survey really seals my suspicion of a fair bit of incompetence on their part #telenor #frustration #moneyback #refund,,Sun Aug 12 13:40:49 +0000 2018
FranAvril29,RT @france3Bretagne: Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationa…,"Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationale.

https://t.co/KFo6GvvXrw https://t.co/zYwTGN6DDM",Sun Aug 12 13:40:38 +0000 2018
france3Bretagne,"Brest : le service du téléphérique sera interrompu ce lundi de 14h à 14h45 en raison de manœuvres de la Marine nationale.

https://t.co/KFo6GvvXrw https://t.co/zYwTGN6DDM",,Sun Aug 12 13:38:26 +0000 2018
HanRRamirez,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 13:38:13 +0000 2018
Ask_Spectrum,@javierfigg Good Morning! I can look into the service interruption. Please follow/DM your account number as well as the service address. ^SS,,Sun Aug 12 13:37:57 +0000 2018
Entergy,@gmckelphin So sorry for the service interruption! We appreciate your patience as crews were making reparis last night!,,Sun Aug 12 12:37:31 +0000 2018
BobAaronWCHS,RT @BoydCounty911: Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's w…,"Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's water service interruption, within the hour.",Sun Aug 12 12:28:25 +0000 2018
Zuku_WeCare,"@FrankHunterM Hello Frank, we are experiencing service outage in the area due to power interruption from the main. Service restoration is ongoing. Kindly bear with us. ^EW",,Sun Aug 12 12:25:24 +0000 2018
fp_atl,RT @Ashland_KY: Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's wate…,"Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's water service interruption, within the hour.",Sun Aug 12 12:06:25 +0000 2018
MizDoom,RT @Ashland_KY: Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's wate…,"Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's water service interruption, within the hour.",Sun Aug 12 12:04:03 +0000 2018
Ashland_KY,"Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's water service interruption, within the hour.",,Sun Aug 12 12:01:22 +0000 2018
BoydCountyKY_EM,"Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's water service interruption, within the hour.",,Sun Aug 12 12:01:22 +0000 2018
BoydCounty911,"Water Service Update: A second water line break on US 23 will cause an outage in similar size and scope to yesterday's water service interruption, within the hour.",,Sun Aug 12 12:01:22 +0000 2018
JulieTuazon,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 11:56:08 +0000 2018
kiyelss,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 11:09:11 +0000 2018
jisan948,"@pldt this is to make a complaint on the absence of dial tone and internet service of our landline and DSL using 825-6102. Complete interruption of said services started on 31 JUly 2018. To date, landline and DSL service are still absent. Customer Name is Zenaida A. Santos",,Sun Aug 12 11:01:13 +0000 2018
fibiisco,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 10:44:56 +0000 2018
yoltie,"@YannCPhoto Je ne sais pas ce qu'ils valent pour l'hébergement de site, mais ça fait quelques années que j'ai un dédié chez eux, et j'ai eu 1 seule interruption de service. Pour ma part, je continue avec eux :)",,Sun Aug 12 10:31:42 +0000 2018
fbjenstix,"SoundCloud: Has almost every song and the version I specifically want
Allows song queueing, forwarding, skipping, etc.
Spotify: wAtCH tHiS 30 seCOnD Ad So yOu CaN lISteN tO yOuR mUsIc iNtErRuPtIOn fReE

For someone who doesnt use this kind of service often, SoundCloud wins my sub",,Sun Aug 12 10:18:05 +0000 2018
gsanvic,@talk2globe meron po bang service interruption ng landline Broadband dito sa Nangka? Can’t connect to internet...,,Sun Aug 12 10:17:43 +0000 2018
ManilaWaterPH,"@Daczide @MandaluyongDRRM Hi! For the affected barangays and details about this activity, you may check: https://t.co/umiuk38VK8. Thank you.",,Sun Aug 12 10:17:35 +0000 2018
jyca5sos,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 10:13:15 +0000 2018
ScottyReddy,"Le 19/08 travaux de remise en service du poste de signalisation de St-Cyr

Interruption totale de circulation. Aucun train entr... — Y en a aussi ce Weekend https://t.co/YUW0G2Kp1A",,Sun Aug 12 09:48:27 +0000 2018
Zuku_WeCare,"@PeterMayeku @ZukuOfficial Hello Peter, we are experiencing service outage in the area due to power interruption from the mains. Troubleshooting is ongoing to restore service. Kindly bear with us. ^EW",,Sun Aug 12 09:37:29 +0000 2018
_Marryawwnn,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 09:14:01 +0000 2018
stephan889,RT @AzulRyumon: Sry everyone just found out my Internet provider had a service Interruption in my area. Got no internet for now so no strea…,"Sry everyone just found out my Internet provider had a service Interruption in my area. Got no internet for now so no stream atm. Hopefully gets fixed asap, but could be couple days. Will keep u posted.....",Sun Aug 12 09:13:12 +0000 2018
Zuku_WeCare,"@JoshuaMaingi @ZukuOfficial Hello Joshua, we are experiencing service outage in the area due to power interruption from the main. Troubleshooting is ongoing to restore service. Kindly bear with us. ^EW",,Sun Aug 12 09:13:10 +0000 2018
Zuku_WeCare,"@_tonymugendi Hi Tony, we are experiencing service outage in the area due to power interruption from the main. Troubleshooting is ongoing to restore service. Kindly bear with us. ^EW",,Sun Aug 12 09:10:56 +0000 2018
leelailu,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 08:54:39 +0000 2018
lalalalymie,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Sun Aug 12 08:33:29 +0000 2018
Zuku_WeCare,"@doroglamorous @_markkimathi Hi Caroline, we are experiencing signal interruption in the area affecting service. Troubleshooting is underway for the shortest resolution time. Kindly bear with us. ^EW",,Sun Aug 12 08:29:25 +0000 2018
