SalahMmoustafa,"No thoughts no prayers can bring back what’s no longer there 
 https://t.co/FL27f3RRLE",,Sun Aug 19 00:19:13 +0000 2018
brittanyyy2013,Ya’ll keep Trevor in your thoughts and prayers. I’ve been a hormonal mess today and he has no idea what emotional wreck he’s coming home too🤣😭🤪😡🤰🏻,,Sat Aug 18 21:41:22 +0000 2018
demar_gold,Oh My Goodness!!! @gabcake I’m so so sorry for you! I hope your ok and doing well. I’m so sorry. Thoughts and prayers! https://t.co/77SGRnnjJa,,Sat Aug 18 21:41:16 +0000 2018
MudavanhuRugare,"Thoughts and prayers with Annan family and friends, thank you for your service to humanity #RIPKofiAnnan https://t.co/j0ApRPoCNA",,Sat Aug 18 21:41:05 +0000 2018
ConservGains,"RT @EdwardLeighMP: I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the d…","I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the decades. He will be missed. My thoughts and prayers are with his family and loved ones. https://t.co/d2VqzHSyhz",Sat Aug 18 21:40:46 +0000 2018
Soapsallday,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:40:44 +0000 2018
homeless_wizard,@EverlastinSmoke @tacobell @TacoBellCanada stay strong. many thoughts and prayers your way for your immense struggle.,,Sat Aug 18 21:40:43 +0000 2018
jafander,RT @Asabob20: He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans o…,He was an inspirational international diplomat with unique distinction. He will forever remain one of the greatest Africans of our time. My thoughts &amp; prayers are with the family of Mr. Annan. #RIP #KofiAnnan https://t.co/z0dgZC65i4,Sat Aug 18 21:40:30 +0000 2018
FatimaKiMoM,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:40:19 +0000 2018
scorpiolynn1961,@mcspocky @HugsEtc @garthworld It's sad and distressing to hear this and I wish your wife well. My thoughts and prayers will be said for her and I hope she recovers in good time. If it's not enough that people are suffering in these times we all need a little comforting at times so here is mine. 🙏🙏🙏,,Sat Aug 18 21:40:17 +0000 2018
JacobFieret,"RT @EdwardLeighMP: I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the d…","I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the decades. He will be missed. My thoughts and prayers are with his family and loved ones. https://t.co/d2VqzHSyhz",Sat Aug 18 21:40:16 +0000 2018
lwabubakar,"RT @GeoffreyOnyeama: Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and praye…","Very sad to learn of the passing of @KofiAnnan, former @UN Secretary General. His family are in our thoughts and prayers. https://t.co/HRLhXFAtg7",Sat Aug 18 21:40:11 +0000 2018
Pink13Lady,"RT @After7Music: Our thoughts, prayers of strength and blessings are with Aretha Franklin, The Queen Of Soul, at this time. 🙏🏾🙏🏾🙏🏾🙏🏾
- Kevo…","Our thoughts, prayers of strength and blessings are with Aretha Franklin, The Queen Of Soul, at this time. 🙏🏾🙏🏾🙏🏾🙏🏾
- Kevon, Keith, Melvin &amp; Jason https://t.co/a8oyJgxpdb",Sat Aug 18 21:39:47 +0000 2018
unnikrsnan,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:39:47 +0000 2018
colecurtis20,RT @Baseball_ALX: Please keep the Smith Family in your thoughts and prayers. Keith Smith passed away this morning from his battle with canc…,Please keep the Smith Family in your thoughts and prayers. Keith Smith passed away this morning from his battle with cancer. We send our love and support to the Smith’s from the Alexander Baseball Family!!,Sat Aug 18 21:39:44 +0000 2018
rk_kannanrajesh,"RT @ABdeVilliers17: My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000…","My thoughts and prayers are with the people affected by the terrible floods in Kerala!!! More than 100 dead and 200,000 left homeless.. terrible! #KeralaSOS #KeralaDonationChallenge",Sat Aug 18 21:39:40 +0000 2018
BBCRadioLincs,"RT @EdwardLeighMP: I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the d…","I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the decades. He will be missed. My thoughts and prayers are with his family and loved ones. https://t.co/d2VqzHSyhz",Sat Aug 18 21:39:15 +0000 2018
mcspellerson,@BigwavesOrris @edhardy @CTFletcherISYMF @bdckool @Latina_Amer1968 @hooven08 @simon_maybury @BDRS55 @Ryceezy @pdubz32 Amazing work hope your friend is doing well he is in my thoughts n prayers,,Sat Aug 18 21:39:14 +0000 2018
TripawDaisy,RT @MWD_News: It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are w…,It’s with great sadness that we share the news of the passing of retired TEDD MWD Free (R606). Our thoughts and prayers are with his handler Michael and Michael's wife Tina. We are thankful that Free was able to live out the last 2 years of his retirement with Michael and Tina. https://t.co/CArSPKHdxb,Sat Aug 18 21:39:13 +0000 2018
ashleybankkks,@Amandagoodies Sending prayers your way ❤️ nothing but positive thoughts,,Sat Aug 18 21:39:09 +0000 2018
Lovesretro,"RT @Imokbturnot: Daniella is not home yet.  Please remember, the Mobile Police Deptartment is offering a $2,000.00 reward for information l…","Daniella is not home yet.  Please remember, the Mobile Police Deptartment is offering a $2,000.00 reward for information leading to her location.  We sorely covet your prayers, and request that you keep us in your thoughts.  Please don't lose faith, don't give up - We're not! https://t.co/pBnJf1oV46",Sat Aug 18 21:39:03 +0000 2018
Finn_goddess,"My thoughts and prayers are still with you @NatbyNature, @TJWilson and the rest of your family ❤️ thank you for sharing a sweet memory of your dad #fatherandDaughterlove #RIP #JimNeidhart https://t.co/cNa8t7AcWY",,Sat Aug 18 21:38:53 +0000 2018
guyknoller1,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:38:35 +0000 2018
MizCazorla1,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 21:38:30 +0000 2018
jerrylaurence,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 21:38:28 +0000 2018
Stephenbwonlu,RT @HEDankwambo: So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate f…,"So sad to hear about the demise of one of the world’s finest diplomats! Kofi Atta Annan. A global statesman and advocate for peace. He will forever be remembered for his immense contributions to the advancement of humanity. 
My thoughts and prayers are with the family. https://t.co/rxUUufymj4",Sat Aug 18 21:38:02 +0000 2018
KDavCor,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:37:57 +0000 2018
JbthomJohn,RT @OptiMum_405: @RogueFirstLady thoughts and prayers ... 😆,@RogueFirstLady thoughts and prayers ... 😆,Sat Aug 18 21:37:46 +0000 2018
dishwithdi,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:37:26 +0000 2018
carlabie,RT @Essence: Our thoughts and prayers are with the family and friends of Kofi Annan during this difficult time: https://t.co/7tFi4eTF7V,Our thoughts and prayers are with the family and friends of Kofi Annan during this difficult time: https://t.co/7tFi4eTF7V,Sat Aug 18 21:37:21 +0000 2018
GregHor08576999,@shannonrwatts @50inaug @NRA @BetoORourke What did he run out of thoughts and prayers? So he sent a flag,,Sat Aug 18 21:36:58 +0000 2018
EdwardLeighMP,"I am saddened to learn this evening of the passing of Sir Peter Tapsell, a great parliamentarian and collegue over the decades. He will be missed. My thoughts and prayers are with his family and loved ones. https://t.co/d2VqzHSyhz",,Sat Aug 18 21:36:39 +0000 2018
BrandyandLovage,RT @DoglostUK: 💔Kent Police have confirmed that they've sadly found a body in Dering woods which they believe to be Christopher Fisher. Our…,"💔Kent Police have confirmed that they've sadly found a body in Dering woods which they believe to be Christopher Fisher. Our thoughts and prayers are with Chris's family

🐾 Molly, Chris's #Dog is still #Missing! Hopefully we can find her and get her back with her family asap https://t.co/7ZmHw05AuO",Sat Aug 18 21:36:08 +0000 2018
LifesabeachSims,"RT @Imokbturnot: Daniella is not home yet.  Please remember, the Mobile Police Deptartment is offering a $2,000.00 reward for information l…","Daniella is not home yet.  Please remember, the Mobile Police Deptartment is offering a $2,000.00 reward for information leading to her location.  We sorely covet your prayers, and request that you keep us in your thoughts.  Please don't lose faith, don't give up - We're not! https://t.co/pBnJf1oV46",Sat Aug 18 21:35:50 +0000 2018
tommarshall,@thehill Our thoughts and prayers go out to those who will replace those GOP seats... hopefully lawmakers and leaders who actually care about their country and We The People,,Sat Aug 18 21:35:43 +0000 2018
CSHeaven,"Condolences to Jacob and his family.

Our family is keeping your family in our thoughts and prayers. — feeling emotional",,Sat Aug 18 21:35:39 +0000 2018
LeahNicole1856,Just please keep my family in your thoughts and prayers. Times can be so genuinely tough but words can’t describe how thankful I am for those who have done their part through this,,Sat Aug 18 21:35:05 +0000 2018
avery_day,@740KVOR Thoughts and Prayers ~,,Sat Aug 18 21:35:03 +0000 2018
petulant_flower,@THR thoughts and prayers,,Sat Aug 18 21:34:42 +0000 2018
annakrofah,"RT @georgeoaddo: Devastated by news coming from the ongoing University Students' Association of Ghana (USAG) Congress in Cape Coast.

My pr…","Devastated by news coming from the ongoing University Students' Association of Ghana (USAG) Congress in Cape Coast.

My prayers and thoughts are with the victims and the entire student fraternity!

Be safe guys.",Sat Aug 18 21:34:39 +0000 2018
kylee0100,RT @Madison_Martine: Hey guys! Please help support and spread the word of my friend who was in a terrible accident and is going to have a l…,Hey guys! Please help support and spread the word of my friend who was in a terrible accident and is going to have a long and expensive recovery ahead of her! Anything helps! Including thoughts and prayers! 💗 https://t.co/kKDVBaVxxV,Sat Aug 18 21:34:10 +0000 2018
ThabitiBoone,RT @RepCummings: My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about ma…,My thoughts and prayers are with the family and friends of Kofi Annan. He was a visionary leader who cared deeply about making the world a better place. We are all blessed to have experienced his global influence.,Sat Aug 18 21:34:08 +0000 2018
