Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
drummerbyron,I'm raising money for Hawks Family  Carr fire relief. Click to Donate:  https://t.co/mFzWSrvh1K via @gofundme,,Sat Aug 04 02:39:03 +0000 2018
MadiPaige1197,"RT @JeritRoser: Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for ch…","Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for children with pulmonary disorders — but also, of course, to pie @_Andrew_Lopez square INTHEFAACCEE! #PieOff2 

https://t.co/Nmud9Gbox2

More details in video! https://t.co/KZ2Y29gQDp",Sat Aug 04 02:39:02 +0000 2018
PrincesssBob,"This is Tootsie, she is in the hospital, her human is @Deacon6353 on twitter, she lives alone, has a full time job and donates her time and any extra money she has to help save families like me. You can donate to either https://t.co/NOCAO1M6lc or gofun… https://t.co/woDyDlz3R4 https://t.co/NrIut4IQEg",,Sat Aug 04 02:38:39 +0000 2018
xo26540109,RT @yashar: Cardi B is getting into tax policy now. She says she's paying 40% of her income in taxes and wants to know where the money is g…,"Cardi B is getting into tax policy now. She says she's paying 40% of her income in taxes and wants to know where the money is going...""when you donate to a kid in a foreign country, they give you updates on what they're doing with your donation....I want updates on my tax money."" https://t.co/E1hITGNqee",Sat Aug 04 02:38:22 +0000 2018
softmush,RT @baldheadedb: I'm raising money for Help Camille escape emotional abuse. Click to Donate:  https://t.co/zVC5N2bLMv via @gofundme,I'm raising money for Help Camille escape emotional abuse. Click to Donate:  https://t.co/zVC5N2bLMv via @gofundme,Sat Aug 04 02:38:20 +0000 2018
brockness,@stonecold2050 All they have to do is ask for money and their most loyal members will donate hard earned money,,Sat Aug 04 02:38:05 +0000 2018
cbranch89,"RT @JeritRoser: Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for ch…","Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for children with pulmonary disorders — but also, of course, to pie @_Andrew_Lopez square INTHEFAACCEE! #PieOff2 

https://t.co/Nmud9Gbox2

More details in video! https://t.co/KZ2Y29gQDp",Sat Aug 04 02:37:48 +0000 2018
5099Gabby,RT @sammysousaaa: Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses.…,Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses. Click to Donate:  https://t.co/7f5R7JlFDW via @gofundme,Sat Aug 04 02:37:27 +0000 2018
contreary,"Our campaign is built on the strength of grassroots supporters. Chip in now, join our campaign! https://t.co/gOOukDYQsI Beto for Senate! Beto has traveled to every corner, crack, and crevice of Texas talking to the people. All of Beto's money comes from everyday people. #resist",,Sat Aug 04 02:36:28 +0000 2018
ToniStringfello,RT @ToniStringfello: I'm raising money for King of Angels. Click to Donate:  https://t.co/gHqatA7dKQ via @gofundme,I'm raising money for King of Angels. Click to Donate:  https://t.co/gHqatA7dKQ via @gofundme,Sat Aug 04 02:36:20 +0000 2018
samspiegs,"RT @JeritRoser: Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for ch…","Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for children with pulmonary disorders — but also, of course, to pie @_Andrew_Lopez square INTHEFAACCEE! #PieOff2 

https://t.co/Nmud9Gbox2

More details in video! https://t.co/KZ2Y29gQDp",Sat Aug 04 02:36:16 +0000 2018
Damenshi,RT @LibraGhost: I'm raising money for I Need Help With Vet Bills. Click to Donate:  https://t.co/V21VuU5Wm5 via @gofundme,I'm raising money for I Need Help With Vet Bills. Click to Donate:  https://t.co/V21VuU5Wm5 via @gofundme,Sat Aug 04 02:35:51 +0000 2018
Jakealbina1,I'm raising money for Walk Across America.. Click to Donate:  https://t.co/qMxWbR9BVz via @gofundme,,Sat Aug 04 02:35:33 +0000 2018
LibraGhost,I'm raising money for I Need Help With Vet Bills. Click to Donate:  https://t.co/V21VuU5Wm5 via @gofundme,,Sat Aug 04 02:34:51 +0000 2018
Jacque_Marie42,RT @joshacosta12: I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,Sat Aug 04 02:34:43 +0000 2018
mckensipon,RT @alyvanduzer: I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,Sat Aug 04 02:34:40 +0000 2018
payton_tevis,RT @alyvanduzer: I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,Sat Aug 04 02:33:54 +0000 2018
recruittheboot,"RT @JeritRoser: Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for ch…","Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for children with pulmonary disorders — but also, of course, to pie @_Andrew_Lopez square INTHEFAACCEE! #PieOff2 

https://t.co/Nmud9Gbox2

More details in video! https://t.co/KZ2Y29gQDp",Sat Aug 04 02:33:47 +0000 2018
kelsieefrantzz,RT @SEHSCHEER: I'm raising money for Help Southeast Varsity Cheerleading. Click to Donate:  https://t.co/mXK6W368He via @gofundme,I'm raising money for Help Southeast Varsity Cheerleading. Click to Donate:  https://t.co/mXK6W368He via @gofundme,Sat Aug 04 02:33:19 +0000 2018
Drdavespart,"Have spent a large part of the day trying to reason with a refugee from Iran that wants to donate money to Lauren Southern. 

Should have known better, of course. https://t.co/PhHxNiT9ND",,Sat Aug 04 02:33:03 +0000 2018
CodyAlanMatthe1,I'm raising money for Travel expenses for my kids. Click to Donate:  https://t.co/yVuEQb7pZ0 via @gofundme,,Sat Aug 04 02:32:54 +0000 2018
AManInWestMich,"@gretchenwhitmer Wait a second, YOU, of all people, are crying about alleged dark money going to Abdul El-Sayed ??   Seriously ?   I will donate $100 to you if you can say it 3 times without smiling or laughing",,Sat Aug 04 02:32:40 +0000 2018
spanishpeaches,RT @joshacosta12: I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,Sat Aug 04 02:32:36 +0000 2018
AlreadySoAdored,RT @SEHSCHEER: I'm raising money for Help Southeast Varsity Cheerleading. Click to Donate:  https://t.co/mXK6W368He via @gofundme,I'm raising money for Help Southeast Varsity Cheerleading. Click to Donate:  https://t.co/mXK6W368He via @gofundme,Sat Aug 04 02:32:19 +0000 2018
joshacosta12,I'm raising money for Your Place. Click to Donate:  https://t.co/9B3EncygMz via @gofundme,,Sat Aug 04 02:32:13 +0000 2018
meghangreenx,RT @alyvanduzer: I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,I'm raising money for In memory of Mindy Matasowski. Click to Donate:  https://t.co/xxuPXilHyZ via @gofundme,Sat Aug 04 02:32:10 +0000 2018
buggapedigo1,I'm raising money for Money for books. Click to Donate:  https://t.co/OpDOag9AyR via @gofundme,,Sat Aug 04 02:31:58 +0000 2018
DavidHus223,https://t.co/yKRdLouVed   Help me raise money for cancer research.  @khusar23,,Sat Aug 04 02:31:32 +0000 2018
rubyortega25,I'm raising money for Classroom supplies. Click to Donate:  https://t.co/jRDIpeHwCR via @gofundme,,Sat Aug 04 02:30:59 +0000 2018
Annette23348076,RT @jeanellePrince: @the_USO You asked for donations after signing the card. I have no problem with that but why don't you appeal to the pr…,@the_USO You asked for donations after signing the card. I have no problem with that but why don't you appeal to the president and see if he will donate the 30 million that he's spending on a parade that he doesn't deserve. That money would be better spent directly on the troops.,Sat Aug 04 02:30:52 +0000 2018
joeybean92,@HardenBeard Comparing people that donate their money to the church and the government taking your money and giving it to someone who is lazy are different things. I’d figure the thing that kept you up at night was the 27 straight 3s y’all missed.,,Sat Aug 04 02:30:11 +0000 2018
_MarcoFerrero_,"RT @Buydirectsports: Like, Share, Retweet, Follow, Donate for more #FreePicks! Or when you #Win money on our #FreePicks, Get our #PremiumPi…","Like, Share, Retweet, Follow, Donate for more #FreePicks! Or when you #Win money on our #FreePicks, Get our #PremiumPicks and make more #Money this is how we All #GetPaid &amp; #Grow! @Buydirectsports https://t.co/uvqSgbjMlI",Sat Aug 04 02:30:11 +0000 2018
SportsWithDara,RT @KStateAlumni: Such a great time so far! There are tables here competing for who can donate the most money. There are so many generous d…,Such a great time so far! There are tables here competing for who can donate the most money. There are so many generous donors here tonight! #WabashColorado https://t.co/g3wypSkju9,Sat Aug 04 02:29:37 +0000 2018
JeritRoser,"Y’all know the deal, #BootFam!!

Donate to my fund to not only@raise money for #CampPelican, a sleepaway summer camp for children with pulmonary disorders — but also, of course, to pie @_Andrew_Lopez square INTHEFAACCEE! #PieOff2 

https://t.co/Nmud9Gbox2

More details in video! https://t.co/KZ2Y29gQDp",,Sat Aug 04 02:29:24 +0000 2018
KStateAlumni,Such a great time so far! There are tables here competing for who can donate the most money. There are so many generous donors here tonight! #WabashColorado https://t.co/g3wypSkju9,,Sat Aug 04 02:29:19 +0000 2018
stonegrnd1,"RT @janeabrams: Please help us by making a donation any amount will go a long way we need your help folks 
Thank you 
Please share widely 🙏…","Please help us by making a donation any amount will go a long way we need your help folks 
Thank you 
Please share widely 🙏❤️
I'm raising money for Medical . Click to Donate:  https://t.co/uTY4rrfm6R via @gofundme",Sat Aug 04 02:28:41 +0000 2018
Questica,"@FPLCircuit @flusha_csgo @G2NBK @RedCross Very beautiful that a man such as NBK who has no job himself would donate money to those in needs, bless him.",,Sat Aug 04 02:28:38 +0000 2018
Buydirectsports,"Like, Share, Retweet, Follow, Donate for more #FreePicks! Or when you #Win money on our #FreePicks, Get our #PremiumPicks and make more #Money this is how we All #GetPaid &amp; #Grow! @Buydirectsports https://t.co/uvqSgbjMlI",,Sat Aug 04 02:28:07 +0000 2018
mechamlisa,I'm raising money for Rhoda's life saving surgery. Click to Donate:  https://t.co/IgVpeiKUJI via @gofundme,,Sat Aug 04 02:27:58 +0000 2018
nursekelsey,"RT @Sunbird5274: #TeamJayme
I'm raising money for Mylee Frances Snowden Memorial Fund. Click to Donate:  https://t.co/htafspmnKR via @gofun…","#TeamJayme
I'm raising money for Mylee Frances Snowden Memorial Fund. Click to Donate:  https://t.co/htafspmnKR via @gofundme",Sat Aug 04 02:27:22 +0000 2018
jgabriel456,I'm raising money for The CAN Man for Mayor of Las Cruces. Click to Donate:  https://t.co/IuzwA3DQCa via @gofundme,,Sat Aug 04 02:26:19 +0000 2018
FindingDonghae,"RT @_HollySam_: Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable","Siwon can easily just donate money and stay comfortably in Korea but no, he actually donates his time. That is more valuable",Sat Aug 04 02:26:00 +0000 2018
PHILIPPIAN247,"#Repost @theshaderoom with get_repost
・・・
#PressPlay: #Charlamagne says he accepts #VanLathan’s challenge to boycott #Madden19 and instead donate the game money to #ColinKaepernick’s… https://t.co/ZsxyuhJFWt",,Sat Aug 04 02:25:52 +0000 2018
WizKaliaa,RT @sammysousaaa: Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses.…,Y’all are right. Life isn’t as easy as RT’s . Please read my story. I'm raising money for sammysousaaa’s school expenses. Click to Donate:  https://t.co/7f5R7JlFDW via @gofundme,Sat Aug 04 02:25:37 +0000 2018
puppy550,"If anyone has any spare money, even a few dollars donate it to the ACLU please. They are doing a lot of work on the country's behalf to fight Trump. https://t.co/u9e5WZ1vYh",,Sat Aug 04 02:25:30 +0000 2018
MsKooBreeze,I'm raising money for Please help me get back on my feet.. Click to Donate:  https://t.co/mWfYO4qk5a #GoFundMe #Blessings #HelpNeeded,,Sat Aug 04 02:25:15 +0000 2018
nyjhtjjot7,"I'm raising money for BTS Love Yourself Concert Tickets. Click to Donate:  https://t.co/DMbojMk69C via @gofundme
///
Please help donate! All donations are very much appreciated.",,Sat Aug 04 02:24:56 +0000 2018
madigan2015,I'm raising money for Reigning Metal. Click to Donate:  https://t.co/NH6ZSBJSlI via @gofundme,,Sat Aug 04 02:24:31 +0000 2018
MegOrtiz14,I'm raising money for College Education Tuition. Click to Donate:  https://t.co/BcMBOFkrSh via @gofundme,,Sat Aug 04 02:24:14 +0000 2018
rich_cardosi,I'm raising money for Evacuated from fires need help. Click to Donate:  https://t.co/nlJHTuBZcx via @gofundme,,Sat Aug 04 02:24:12 +0000 2018
kstreet111,"RT @janeabrams: Please help us by making a donation any amount will go a long way we need your help folks 
Thank you 
Please share widely 🙏…","Please help us by making a donation any amount will go a long way we need your help folks 
Thank you 
Please share widely 🙏❤️
I'm raising money for Medical . Click to Donate:  https://t.co/uTY4rrfm6R via @gofundme",Sat Aug 04 02:23:50 +0000 2018
jacbjt,RT @samschroeter62: I have loved every minute of being a Phi. But being part of a fraternity is much more than just fun. This year I will b…,"I have loved every minute of being a Phi. But being part of a fraternity is much more than just fun. This year I will be working to raise money for ALS awareness and research. My goal is $1,000 but anything helps. To learn more or donate click here
https://t.co/Wvoo98rqWJ",Sat Aug 04 02:23:41 +0000 2018
