yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
loladurkalec,RT @lanadelpeaches: Summertime sadness🌹 https://t.co/lHDft8oN1a,Summertime sadness🌹 https://t.co/lHDft8oN1a,Sat Aug 04 10:37:28 +0000 2018
EXOMyun91,"Fascinating story, isn't it? This is what draws me in right away and took the role. Gwynplaine is such a complicated role; he has his sorrow, pain, tragedy, sadness, yet the irony is, he becomes a clown with a permanent smiling lips. Victor Hugo has done a magnificent work. https://t.co/FPJZ15HVgW",,Sat Aug 04 10:37:26 +0000 2018
FS_smk,@Dear_sadness_ 와...깡 인정해드립니다....;;;;;;;; 나는 위험해도 수면마취할래 아픈거 싫어(ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,Sat Aug 04 10:37:24 +0000 2018
actuallymi,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:37:24 +0000 2018
mxeva577,RT @lanadelpeaches: Summertime sadness🌹 https://t.co/lHDft8oN1a,Summertime sadness🌹 https://t.co/lHDft8oN1a,Sat Aug 04 10:37:22 +0000 2018
SAVESHA74584688,RT @angry_alec_: I’m trying to cheer myself up but y’all are welcome too. We’ve been here for two months straight. We had our moments of ha…,I’m trying to cheer myself up but y’all are welcome too. We’ve been here for two months straight. We had our moments of happiness when we believed we were getting picked up and we had our moments of sadness when we lost all hope. #saveshadowhunters 1/?,Sat Aug 04 10:37:15 +0000 2018
Letcia_Sadness,"RT @oidesculpa: minhas paranóias nunca foram só paranóias, no fim sempre era fato. é por isso que eu tenho medo.","minhas paranóias nunca foram só paranóias, no fim sempre era fato. é por isso que eu tenho medo.",Sat Aug 04 10:37:12 +0000 2018
JustMe121775,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:37:12 +0000 2018
anneyeonghaseox,A kind of sadness only God can comfort,,Sat Aug 04 10:37:05 +0000 2018
hon_Makau,RT @UKenyatta: It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished…,"It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished long serving public servant, lawmaker and accountant whose service to the nation will be greatly missed.",Sat Aug 04 10:37:04 +0000 2018
BenediktAmrhein,"@MikeJPassmore @RickyCa69392149 @msmarianpinky @hitjobnews @mark777day @Toonces_Resists @acoad1111 @JohnRJohnson @12Ravenwolf @FKennds @KarlieCaliforn1 @BeautyAbounds4U @Stop_Trump20 @themamibunni @murrayb560sl @ea_neil @IreneSevier @AsheFinktor @dewaaier112 @mlkspr @DWPippy @smilemorefolks yeah. although the feeling those pictures evoke is less comedy, more sadness and nostalgia.",,Sat Aug 04 10:37:04 +0000 2018
Letcia_Sadness,RT @piafather: hm  falou q ia dormi e ficou 2 segundos online   hm,hm  falou q ia dormi e ficou 2 segundos online   hm,Sat Aug 04 10:37:04 +0000 2018
nikkiiiiiiflrs,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:36:54 +0000 2018
Aimi_Nabilahb,"RT @znelllll: did u know our tears have pain killers , and thats why we feel better after we cry due to sadness because it reduces the phys…","did u know our tears have pain killers , and thats why we feel better after we cry due to sadness because it reduces the physical pain were experiencing during that moment. SubhanAllah even our tears are perfectly designed.",Sat Aug 04 10:36:49 +0000 2018
Sars_Shaharin,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:36:49 +0000 2018
luasjun,"RT @felixskids: Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness","Felix: the comeback has a Kids feeling to it ;)

the teasers: death, destruction, and sadness",Sat Aug 04 10:36:37 +0000 2018
mhaikkun,I want to go to starbucks and have that apricot and peach yogurt oh man drinking that felt like finally getting the treat I deserved after a year of sadness,,Sat Aug 04 10:36:35 +0000 2018
jhanneyyybbb1_,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 10:36:33 +0000 2018
_1_Revival_6_,2018 is giving me too much sadness,,Sat Aug 04 10:36:22 +0000 2018
badgaltey,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:36:15 +0000 2018
jilldavidsonx,RT @_zaracorrie: actual feel soooo fukin down about everythin the now im a wee ball of sadness,actual feel soooo fukin down about everythin the now im a wee ball of sadness,Sat Aug 04 10:36:14 +0000 2018
vlxnelikex,RT @lanadelpeaches: Summertime sadness🌹 https://t.co/lHDft8oN1a,Summertime sadness🌹 https://t.co/lHDft8oN1a,Sat Aug 04 10:36:11 +0000 2018
EconomicPoems,And each flower within me leaves behind so solemn a sadness that all of them must safe harbour,,Sat Aug 04 10:36:07 +0000 2018
_liesmich,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 10:36:06 +0000 2018
thettumom,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:36:01 +0000 2018
_rjrahim_,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:35:59 +0000 2018
ulfikhsnah,new hobby : look at strangers' eyes and wonder what kind of sadness they are hiding.,,Sat Aug 04 10:35:57 +0000 2018
Brischositepu,RT @deIuge: friday night sadness,friday night sadness,Sat Aug 04 10:35:53 +0000 2018
mojcmnddr,atat na naman sadness ko huwag ka munang umepal si stress muna.,,Sat Aug 04 10:35:43 +0000 2018
ikadrisya3108,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 10:35:38 +0000 2018
Yamazaki_Sou,Drowning into sadness and loneliness....💀,,Sat Aug 04 10:35:38 +0000 2018
Letcia_Sadness,"Espero que dps dad eleições, neguin não fique reclamando que ta ganhando pouco salário. Que eu vou dizer bem feito fdp",,Sat Aug 04 10:35:36 +0000 2018
DrByzan,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:35:32 +0000 2018
kertleigh_tanya,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:35:28 +0000 2018
SolomonKarori2,"RT @advocatemahere: In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons.…","In the Harare CBD, people have generally gone home or didn’t come to work. For some it was because of security reasons. For some it was sadness.

For most it was both. 🇿🇼",Sat Aug 04 10:35:25 +0000 2018
yessicaViona,"It's been around 4 years to get to know them, not a short times but full of memories. Happy, sadness, anger, madness everything we have been through, i will always remember. I love our… https://t.co/au526c78bO",,Sat Aug 04 10:35:20 +0000 2018
CarloCardola,"7 anni fa, 2011, #RickGenest era alla ribalta dopo il video con #LadyGaga e diventa famoso in tutto il pianeta. Avevamo più o meno la stessa età, sono davvero sconcertato di come in poco tempo una persona dall’Olimpo possa ritrovarsi negli Inferi !!
R.I.P. #ZombieBoy 
#sadness https://t.co/uxTAQsMT6B",,Sat Aug 04 10:35:11 +0000 2018
joanaserrano09,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 10:35:09 +0000 2018
ikaqstna,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 10:35:07 +0000 2018
SassyHealer,"@DeadbeatEntity ""That's probably because you rarely talk to me, Father.""

She delivered her words without malice.. just a deep sense of regret and an overwhelming sadness that she rarely showed anyone.

""...where are you going?""",,Sat Aug 04 10:35:06 +0000 2018
nainaimah,"RT @duduuwii: Dear parents, have you imagined how does your kid feel when you can't control your emotion nor sadness in front of them? They…","Dear parents, have you imagined how does your kid feel when you can't control your emotion nor sadness in front of them? They broke. Indeed. They deserve a strong parent. Please, be strong,  fight yourself for their future, for their happy life.

Sincerely, their confused teacher",Sat Aug 04 10:35:00 +0000 2018
hoylelengr,"RT @gayexjulyan: Unpopular Opinion:

Just bcos u see people give the widest smiles dnt mean they have the strongest hearts &amp; minds. Maybe t…","Unpopular Opinion:

Just bcos u see people give the widest smiles dnt mean they have the strongest hearts &amp; minds. Maybe they jst have the thickest skin to show, to prove others that there's still something to look forward in the midst of struggles &amp; loads of sadness.",Sat Aug 04 10:34:58 +0000 2018
CoventryUpdate,RT @cov_kyle: And so today begins 9 months of pain sadness and occasionally moments of joy...let's do this @Coventry_City #PUSB #RiseTogeth…,And so today begins 9 months of pain sadness and occasionally moments of joy...let's do this @Coventry_City #PUSB #RiseTogether,Sat Aug 04 10:34:53 +0000 2018
berriebunbun,"RT @breatheapril: When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?","When people stare at the ocean, what were they thinking? Do they also wish for the waves to take their sadness away?",Sat Aug 04 10:34:50 +0000 2018
FluffyFlavian,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:34:50 +0000 2018
donnameyler26,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:34:46 +0000 2018
Z41D11,"RT @danialzz__: may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of every…","may Allah heal the broken heart. the ones who are silent, who cannot express their pain. the ones who always tired of everything. the ones who need a break. may Allah put an end to your sadness, may He put a smile on your face.",Sat Aug 04 10:34:45 +0000 2018
gildermike,"RT @LadyM_07: Be the reason her eyes are pools of seduction, not sadness.","Be the reason her eyes are pools of seduction, not sadness.",Sat Aug 04 10:34:43 +0000 2018
MentallyAwareNG,"RT @loistruly: Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll…","Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll go away',  or 'just think happy thoughts' , it's and illness that needs treatment 
#KeepTalkingMh https://t.co/ovFFyGYo7B",Sat Aug 04 10:34:42 +0000 2018
sadness_dwq,RT @jnyngbot: HOW ARE YOU SO FINE #EyesonYouinSG https://t.co/fRXgUYSFZk,HOW ARE YOU SO FINE #EyesonYouinSG https://t.co/fRXgUYSFZk,Sat Aug 04 10:34:39 +0000 2018
KyleMcDowell18,"RT @eightbitstories: there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes","there is a whole world of raging sadness inside of me, yet i'm full of optimism and hopes",Sat Aug 04 10:34:38 +0000 2018
