Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
News8,RT @CBS8: West Fire: Fundraiser held for Alpine fire victims https://t.co/pA21ttOGg4 https://t.co/9yJzprHmLt,West Fire: Fundraiser held for Alpine fire victims https://t.co/pA21ttOGg4 https://t.co/9yJzprHmLt,Sun Aug 19 19:27:04 +0000 2018
mezznj,"Important to R/T
Can #SocialistSunday followers R/T far and wide as there is some difficulty with links to Facebook

Also, does anyone know how to set up fundraiser account for this cause? I have tried but it's all retail?

 https://t.co/zjzmDJPxff",,Sun Aug 19 19:21:40 +0000 2018
CBS8,West Fire: Fundraiser held for Alpine fire victims https://t.co/pA21ttOGg4 https://t.co/9yJzprHmLt,,Sun Aug 19 19:21:04 +0000 2018
760kfmb,West Fire: Fundraiser held for Alpine fire victims https://t.co/9LruhZkGIw https://t.co/2TUADp9XI1,,Sun Aug 19 19:21:04 +0000 2018
thecwsandiego,West Fire: Fundraiser held for Alpine fire victims https://t.co/Ah2Hi2pk7m https://t.co/rox8LMvmT1,,Sun Aug 19 19:21:04 +0000 2018
wagon_fire,RT @Brasilmagic: No more Nathans. Haven’t businesspeople figured out that taking sides in politics is bad for business?  https://t.co/d81cj…,No more Nathans. Haven’t businesspeople figured out that taking sides in politics is bad for business?  https://t.co/d81cjQWnBz,Sun Aug 19 17:44:02 +0000 2018
sweak1,Congratulations Town of Newbold Volunteer Fire Department on your 50th anniversary!   Awesome turnout for the annual picnic fundraiser. Enjoyed visiting with everyone! https://t.co/Mcy4oskIjV,,Sun Aug 19 16:58:46 +0000 2018
LdM_BeachGirl,"RT @999zzzccc: @NatFun @cathymcmorris @SpokesmanReview She's afraid someone will ask her about those fundraiser tapes; you know, the tapes…","@NatFun @cathymcmorris @SpokesmanReview She's afraid someone will ask her about those fundraiser tapes; you know, the tapes where Cathy and Nunes were caught conspiring to fire Rosenstein and make sure Kavanaugh got appointed to the Supreme Court... Shameful!",Sun Aug 19 14:48:40 +0000 2018
JonTolleyTweets,#onthisday 8 years ago we held the fundraiser for those affected by the fire at Madingley on the Cambridge Estate... https://t.co/sfKTSzMzCC,,Sun Aug 19 12:34:50 +0000 2018
LesleyMcEvoy20,RT @Bradford_TandA: Pop tribute bands draw the crowds to fire headquarters Firefest fundraiser https://t.co/CLLnvWZeI7 https://t.co/nGoVc9y…,Pop tribute bands draw the crowds to fire headquarters Firefest fundraiser https://t.co/CLLnvWZeI7 https://t.co/nGoVc9ysZ6,Sun Aug 19 06:13:06 +0000 2018
Bradford_TandA,Pop tribute bands draw the crowds to fire headquarters Firefest fundraiser https://t.co/CLLnvWZeI7 https://t.co/nGoVc9ysZ6,,Sun Aug 19 06:04:25 +0000 2018
FelixSilverFoxy,"Fire Department made $18,911 at this weekend's fundraiser c:",,Sun Aug 19 05:36:33 +0000 2018
will_enoch,"Enoch Group SPC Is Offering Referral Fees For Engraved Brick Fundraiser Prospects:

Colleges/Universities
Religious institutions
Non-profit organizations
Hospitals
Fire/Police departments
City/County/Federal governments

Contact us: https://t.co/quq4GVYKXN",,Sun Aug 19 05:32:03 +0000 2018
Robert_N_Clark,"@VanGranCO @Puglaas @CambieVillageBA @PUGLAAS IS NOW A PROVEN CRIMINAL WHO MUST RESIGN!
@JustinTrudeau MUST #FIRE Jody Wilson-Raybould IMMEDIATELY!
Thanks for proving @Liberal_party &amp; @JusticeCanadaEN is CORRUPT!
#bcpoli #abpoli #skpoli #mbpoli #onpoli #nbpoli #nspoli #peipoli #nspoli #nlpoli
https://t.co/H1AfqbYegZ",,Sun Aug 19 05:13:47 +0000 2018
RCVFA,RT @RocklandFires: The Thiells Fire Department is having a Moonlight Bowling Fundraiser tonight (Saturday 8/18) at Hi-Tor Lanes in West Hav…,The Thiells Fire Department is having a Moonlight Bowling Fundraiser tonight (Saturday 8/18) at Hi-Tor Lanes in West Haverstaw. Check in is at 7:30 PM and the cost is $25 per adult. https://t.co/qg5tsFksoF,Sun Aug 19 04:34:00 +0000 2018
Susie39212967,RT @clivesmom: @townhallproject @Susana_Tupper This includes @RepLaMalfa . More interested in super secret fundraiser with turncoat @DevinN…,@townhallproject @Susana_Tupper This includes @RepLaMalfa . More interested in super secret fundraiser with turncoat @DevinNunes than talking to constituents. Just posts and tweets misinformation. Retweets @CAL_FIRE tweets to pretend he cares about CA fires.,Sun Aug 19 04:06:00 +0000 2018
bonestobin,"@JelloZ @ABrindisiNY @claudiatenney C'mon, jello, stick to the news. Tenney is sticking it to Utica residents, making them foot the bill (police, fire, public works) from her Trumpian fundraiser. Do you live in Utica? Excited to fund her $15,000-$1,000/person event?",,Sun Aug 19 01:19:11 +0000 2018
ShawnNews8,Big fundraiser tonight in Alpine for the survivors of the west fire. A sold out evening at the Alpine community center check out my Facebook page for more video. @CBS8 @ShawnNews8 https://t.co/dJYOTWvyqr,,Sun Aug 19 01:11:47 +0000 2018
NAlstatt,"@realDonaldTrump why are you at a fundraiser when California is on fire, families are still separated, Flint doesn’t have clean water and Puerto Rico is still not 100% whole after a year and Your ass is under investigation! #LockHimUp #Treason https://t.co/DFoMyVAm5P",,Sun Aug 19 00:24:19 +0000 2018
Bradford_TandA,Pop tribute bands draw the crowds to fire headquarters Firefest fundraiser https://t.co/CLLnvWZeI7 https://t.co/7SWFLU3a40,,Sun Aug 19 00:03:19 +0000 2018
999zzzccc,"@NatFun @cathymcmorris @SpokesmanReview She's afraid someone will ask her about those fundraiser tapes; you know, the tapes where Cathy and Nunes were caught conspiring to fire Rosenstein and make sure Kavanaugh got appointed to the Supreme Court... Shameful!",,Sun Aug 19 00:01:53 +0000 2018
DeskEight,RT @ShawnNews8: Turning out to be a fantastic Saturday in San Diego temperature wise. Plenty of fun surf water temperature back up to 74-76…,Turning out to be a fantastic Saturday in San Diego temperature wise. Plenty of fun surf water temperature back up to 74-76° tonight is the big fundraiser in Alpine for the West Fire I’ll be the emcee. Go to my Facebook page for details Shawn Styles @CBS8 @ShawnNews8 https://t.co/2J8EzB7twI,Sat Aug 18 23:44:25 +0000 2018
ShawnNews8,Turning out to be a fantastic Saturday in San Diego temperature wise. Plenty of fun surf water temperature back up to 74-76° tonight is the big fundraiser in Alpine for the West Fire I’ll be the emcee. Go to my Facebook page for details Shawn Styles @CBS8 @ShawnNews8 https://t.co/2J8EzB7twI,,Sat Aug 18 23:24:27 +0000 2018
Arjumwajid,RT @paulageraghty: The Outpost artists studio in Bray got burnt to the ground earlier this year. Decades of work gone forever. Artists are…,The Outpost artists studio in Bray got burnt to the ground earlier this year. Decades of work gone forever. Artists are crowdfunding to rebuild a studio &amp; hope. They’ve not even reached 10% yet. Please donate or RT to help. https://t.co/NlcMQJ1xii let solidarity rebuild hope.,Sat Aug 18 22:33:09 +0000 2018
Jeff_CCTuba,"Today, I had a great time running around central #Iowa, chasing the Iowa Interstate 6988.  

The engine made five round-trips on the east side of #DesMoines as a fundraiser for the Mitchellville, Iowa fire department. #NerdAlert https://t.co/woZvlIW3ya",,Sat Aug 18 22:28:08 +0000 2018
reginazernay,"Tonight's the night! Detroit Diesel Power at Centerfield in #HuntingtonBeach. 8/18 at 9pm. Fundraiser for #SGVCatRescue. With Almost EZ, Psilocybin Pony, and The Detroit Fire. $5 cover at the door. Presented by... https://t.co/6n9MgG3Xk3",,Sat Aug 18 21:25:48 +0000 2018
BrionyTanner,"PLEASE SPONSER ME FOR MY FIRE WALK! 
https://t.co/10NEhvU76E #cssef is an amazing charity I’ve witnessed first hand they brilliant work they do! #Sponsor #charitytuesday #deaf #signlanguage #bsl #asl",,Sat Aug 18 20:48:46 +0000 2018
bradfordeye,"Pop tribute bands draw the crowds to fire headquarters Firefest fundraiser
By Vivien Mason  @VivienM_TandA https://t.co/nH8PUhcZuz",,Sat Aug 18 18:57:37 +0000 2018
SouthEastBank,Thank you to all the volunteers who made our Food for Kids fundraiser a success.  We couldn't do this without you! Thank you &amp;Second Harvest Food Bank of East Tennessee! Thank you Knoxville Police Department - TN! Thank you Knoxville Fire Department! #FoodforKids,,Sat Aug 18 18:47:14 +0000 2018
Bradford_TandA,Pop tribute bands draw the crowds to fire headquarters Firefest fundraiser https://t.co/CLLnvWZeI7 https://t.co/obZ60Qfhbs,,Sat Aug 18 17:37:58 +0000 2018
NeedvilleVFD,Couple of auction items for tomorrow's Needville Fire Department fundraiser. Made by one of our own firefighters. https://t.co/Y08eMOBWQ0,,Sat Aug 18 17:18:20 +0000 2018
MissOshkosh,"Great morning at the Town of Algoma Volunteer Fire Dept. fundraiser. Kate had fun at the Car Show &amp; Corn Roast!🚒🚙
Thank you for inviting us!! — at SkipperBud's Oshkosh https://t.co/P2FBJ8oKbs",,Sat Aug 18 16:31:29 +0000 2018
BridgeTour,RT @BridgeTour: What Havoc A Few Hacked Emails Create - GOP Fundraiser Broidy Under Fire https://t.co/ER1AvxGW4D via @yabberz,What Havoc A Few Hacked Emails Create - GOP Fundraiser Broidy Under Fire https://t.co/ER1AvxGW4D via @yabberz,Sat Aug 18 16:08:05 +0000 2018
vickyuk1,@GHHospice Our family fundraiser!  Fire walk and Star Light Walk for Garden House Hospice Care on MyDonate https://t.co/byXqv4AcA8,,Sat Aug 18 15:41:45 +0000 2018
Shift2GreenNow,"#PatrickLivesOn 3rd Annual Variety Show &amp; Fundraiser
Sep 8, 2018 at 7:00pm - 11:30pm CDT
The Chop Shop, 2033 W. North Avenue, Chgo, IL 60647
A fabulous evening featuring entertainment by cast members from CHICAGO PD, CHICAGO FIRE, &amp; CHICAGO MED.  https://t.co/c6ZhaNDKFA https://t.co/6dCjH9jXQq",,Sat Aug 18 15:36:29 +0000 2018
8otb,Fire Trucks &amp; Trains- A Fundraiser for the Pohatcong Volunteer FD https://t.co/iY9Awyw4zg https://t.co/0m8cEdA8Hc,,Sat Aug 18 15:06:45 +0000 2018
nyswths,Fire Trucks &amp; Trains- A Fundraiser for the Pohatcong Volunteer FD https://t.co/Ke8FcL8nF3 https://t.co/5a7Tc2HZcp,,Sat Aug 18 15:05:12 +0000 2018
jayoung1892,RT @TrumbullPatch: Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/C3JhrwY2GJ,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/C3JhrwY2GJ,Sat Aug 18 14:53:24 +0000 2018
KillenFire,Fire Department Picture Drive Fundraiser pictures will be made today and Sunday 10-4 at Killen Senior Center. We thank you very much for supporting your fire department!!,,Sat Aug 18 14:48:27 +0000 2018
wagon_fire,"RT @jdawsey1: Elliott Broidy and Michael Cohen were co-chairs of RNC finance in 2017. Both are now under investigation, as feds have opened…","Elliott Broidy and Michael Cohen were co-chairs of RNC finance in 2017. Both are now under investigation, as feds have opened probe into whether Broidy was selling access to White House. (Cohen negotiated Broidy's hush payment to pregnant Playmate.) https://t.co/3lH41jsqqB",Sat Aug 18 14:37:02 +0000 2018
WestonPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/5XsQX7MZj9,,Sat Aug 18 14:30:27 +0000 2018
BethwoodPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/tcM4puh4JD,,Sat Aug 18 14:30:18 +0000 2018
WoodMiddPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/znR2QSYdpf,,Sat Aug 18 14:30:18 +0000 2018
BrookfieldPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/VqFKrpxoAz,,Sat Aug 18 14:30:18 +0000 2018
BethelPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/xDDAsjM2xR,,Sat Aug 18 14:30:18 +0000 2018
DanburyPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/psAeuuiOrB,,Sat Aug 18 14:30:17 +0000 2018
southburypatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/JSCvFbZjjX,,Sat Aug 18 14:30:17 +0000 2018
monroepatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/gNREl4oB1u,,Sat Aug 18 14:30:17 +0000 2018
NaugatuckPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/t8WVu905SE,,Sat Aug 18 14:28:58 +0000 2018
OxfordCTPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/twGME3HEp4,,Sat Aug 18 14:27:45 +0000 2018
NMilfordCTPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/DkNHAlTHAP,,Sat Aug 18 14:27:33 +0000 2018
RfieldPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/inUxSYiqhB,,Sat Aug 18 14:27:01 +0000 2018
wiltonpatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/vQldmQsl4W,,Sat Aug 18 14:26:20 +0000 2018
TrumbullPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/C3JhrwY2GJ,,Sat Aug 18 14:15:51 +0000 2018
NewtownPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/P9ElkYYMMZ,,Sat Aug 18 14:14:25 +0000 2018
SheltonPatch,Save the date for August 25th! (The views expressed in this post are the author’s own.) https://t.co/CiFlieVOy2,,Sat Aug 18 14:03:00 +0000 2018
News_MatSu,Come out and help the midgets with their fundraiser! Players and parents have baked goods to purchase and eat while you get your car washed! They are open now! Located at the fire station in Fletcher. https://t.co/zjuYqkHsvH,,Sat Aug 18 13:56:37 +0000 2018
SiviaMajor,"RT @ImpactGuru: Wiped Out By Fire, This Remote Village in Uttarakhand Village Needs Help!
@CAFIndia_tweets 
https://t.co/FCfKvEdIve https:/…","Wiped Out By Fire, This Remote Village in Uttarakhand Village Needs Help!
@CAFIndia_tweets 
https://t.co/FCfKvEdIve https://t.co/w2XGDyvyin",Sat Aug 18 13:49:19 +0000 2018
KefiFMBoston,"Το ΚεφιFM  επικρότη τις προσπάθειας όλον που θυσιάζουν να βοηθήσουν συνανθρώπους. 

Ενημερώστε  μας,  και εμεις με την σειρά μας θα κάνουμε ότι μπορούμε να το κοινοποιήσουμε αφιλοκερδώς  στο  #KefiFM , το δικό σας ραδιόφωνο. https://t.co/ZydrafqOg8",,Sat Aug 18 11:52:50 +0000 2018
RocklandFires,The Thiells Fire Department is having a Moonlight Bowling Fundraiser tonight (Saturday 8/18) at Hi-Tor Lanes in West Haverstaw. Check in is at 7:30 PM and the cost is $25 per adult. https://t.co/qg5tsFksoF,,Sat Aug 18 11:32:56 +0000 2018
NeosKosmos,Greek Mums and Bubs fundraiser to support Attica fire victims tomorrow: https://t.co/Yxxrqu2JR4 https://t.co/0ALMonross,,Sat Aug 18 08:05:07 +0000 2018
tina_patel,RT @CBSLA: A three-day music festival is being held in Idyllwild to help residents who lost everything in the Cranston Fire. Residents are…,A three-day music festival is being held in Idyllwild to help residents who lost everything in the Cranston Fire. Residents are hoping the rain will stop so people can get there. https://t.co/61CpuHqS2N https://t.co/knQLNCv2hS,Sat Aug 18 04:49:17 +0000 2018
GreaterGiving,Fundraising Revenue Enhancer - Idea #11 - First Bid Wins with Denise Glaser. How do you create that spark that gets bidding started? Ramp up anticipation and participation with First Bid Wins incentives. #nonprofit #fundraiser #fundraising https://t.co/t2mGtWWd4P https://t.co/sszvsxxM2h,,Sat Aug 18 03:15:49 +0000 2018
BridgeTour,What Havoc A Few Hacked Emails Create - GOP Fundraiser Broidy Under Fire https://t.co/ER1AvxGW4D via @yabberz,,Sat Aug 18 03:11:47 +0000 2018
CBSLA,A three-day music festival is being held in Idyllwild to help residents who lost everything in the Cranston Fire. Residents are hoping the rain will stop so people can get there. https://t.co/61CpuHqS2N https://t.co/knQLNCv2hS,,Sat Aug 18 03:09:35 +0000 2018
BridgeTour,What Havoc A Few Hacked Emails Create - GOP Fundraiser Broidy Under Fire #TheResistance #indivisible @TeaPainUSA @funder   https://t.co/ER1AvxGW4D via @yabberz,,Sat Aug 18 03:03:46 +0000 2018
